"display";"code";"request_result";"examination_result";"scale";"unit_measure";"method";"specimen"
Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma;"1003-3";Permintaan & Hasil;Ordinal;Ord;;;Darah
Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells;"1007-4";Permintaan & Hasil;Ordinal;Ord;;;Darah
Cefoperazone [Susceptibility] by Minimum inhibitory concentration (MIC);"100-8";Hasil;OrdQn;OrdQn;;MIC;Isolat
Lipid panel - Serum or Plasma ;"100898-6";Permintaan ;;-;;;Serum 
Dengue virus IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay;"100964-6";Permintaan & Hasil;Ordinal;Ord;;IA.rapid;Serum
Cefoperazone [Susceptibility] by Disk diffusion (KB);"101-6";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Rh [Type] in Blood;"10331-7";Permintaan & Hasil;Nominal;Nom;;;Darah
Cancer Ag 125 [Units/volume] in Serum or Plasma;"10334-1";Permintaan & Hasil;Quantitative;Qn;"[arb'U];[arb'U]/mL";;Serum
Color of Cerebral spinal fluid;"10335-8";Hasil;Nominal;Nom;;;Cairan otak
Bacteria identified in Genital specimen by Aerobe culture;"10352-3";Permintaan & Hasil;Nominal;Nom;;Aerobic culture;Genital
Bacteria identified in Nose by Aerobe culture;"10353-1";Permintaan & Hasil;Nominal;Nom;;Aerobic culture;Hidung
Cotinine [Mass/volume] in Urine;"10366-3";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Urine
Glucose [Mass/volume] in Serum or Plasma --1 hour post meal;"10449-7";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum/Plasma
Lutropin [Units/volume] in Serum or Plasma;"10501-5";Permintaan & Hasil;Quantitative;Qn;m[IU]/mL;;Serum
Microscopic observation [Identifier] in Cervix by Cyto stain;"10524-7";Permintaan & Hasil;Nominal;Nom;;Cyto stain;Serviks
Microscopic observation [Identifier] in Sputum by Cyto stain;"10526-2";Permintaan & Hasil;Nominal;Nom;;Cyto stain;Sputum
Digoxin [Mass/volume] in Serum or Plasma;"10535-3";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum
Color of Semen;"10569-2";Hasil;Nominal;Nom;;;Sperma
Leukocytes [#/volume] in Semen;"10579-1";Hasil;Quantitative;Qn;"10*3/uL";;Sperma
Liquefaction [Time] in Semen;"10580-9";Hasil;Quantitative;Qn;min;;Sperma
Sexual abstinence duration;"10587-4";Hasil;Quantitative;Qn;d;;Sperma
Spermatozoa Pyriform Head/100 spermatozoa in Semen;"10593-2";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Tapering Head/100 spermatozoa in Semen;"10594-0";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Abnormal Head/100 spermatozoa in Semen;"10602-1";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Abnormal Midpiece/100 spermatozoa in Semen;"10603-9";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Abnormal Tail/100 spermatozoa in Semen;"10604-7";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Amorphous Head/100 spermatozoa in Semen;"10606-2";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Cytoplasmic Droplet/100 spermatozoa in Semen;"10608-8";Hasil ;Quantitative;Qn;%;;Sperma 
Spermatozoa Immotile/100 spermatozoa in Semen;"10611-2";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Immotile/100 spermatozoa in Semen;"10611-2";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Viable/100 spermatozoa in Semen;"10613-8";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Motile w IgG/100 spermatozoa in Semen by Mixed antiglobulin reaction;"10617-9";Hasil;Quantitative;Qn;%;Mixed antiglobulin reaction;Sperma
Spermatozoa Motile w IgG/100 spermatozoa in Semen by Mixed antiglobulin reaction;"10617-9";Hasil;Quantitative;Qn;%;Mixed antiglobulin reaction;Sperma
Spermatozoa Nonprogressive/100 spermatozoa in Semen;"10620-3";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Nonprogressive/100 spermatozoa in Semen;"10620-3";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Normal Head/100 spermatozoa in Semen;"10621-1";Hasil ;Quantitative;Qn;%;;Sperma 
Spermatozoa Normal/100 spermatozoa in Semen;"10622-9";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Rapid/100 spermatozoa in Semen;"10624-5";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Round Head/100 spermatozoa in Semen;"10625-2";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Slow/100 spermatozoa in Semen;"10626-0";Hasil;Quantitative;Qn;%;;Sperma
Spermatozoa Vacuolated Head/100 spermatozoa in Semen;"10629-4";Hasil;Quantitative;Qn;%;;Sperma
Acanthamoeba sp identified in Eye by Organism specific culture;"10635-1";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Mata
Acanthamoeba sp identified in Eye by Wet preparation;"10636-9";Permintaan & Hasil;Nominal;Nom;;Wet preparation;Mata
