No,Permintaan/Hasil,Tipe hasil pemeriksaan,LOINC Code,Nama Pemeriksaan,Answer List ,Code,Code System ,Keterangan 
1,Permintaan & Hasil,Ordinal,1007-4,Tes Coomb's direk,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
2,Permintaan & Hasil,Ordinal,1003-3,Tes Coomb's indirek,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
3,Permintaan,Nominal,34531-4,Cross Match,,,,
4,Hasil,Nominal,1250-0,Cross Match,Negative,LA6577-6,http://loinc.org,
,,,,,1+,LA11841-6,http://loinc.org,
,,,,,2+,LA11842-4,http://loinc.org,
,,,,,3+,LA11843-2,http://loinc.org,
,,,,,4+,LA11844-0,http://loinc.org,
5,Permintaan & Hasil,Ordinal,890-4,Inkompatibilitas ABO,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
6,Permintaan & Hasil,Quantitative,X099080,Titer Anti-ABO,,,,
7,Permintaan & Hasil,Nominal,57743-7,Golongan darah (konfirmasi),Group A,LA19710-5,http://loinc.org,
,,,,,Group B,LA19709-7,http://loinc.org,
,,,,,Group O,LA19708-9,http://loinc.org,
,,,,,Group AB,LA28449-9,http://loinc.org,
8,Permintaan & Hasil,Nominal,13513-7,Pewarnaan besi,Negative,LA6577-6,http://loinc.org,
,,,,,1+,LA11841-6,http://loinc.org,
,,,,,2+,LA11842-4,http://loinc.org,
,,,,,3+,LA11843-2,http://loinc.org,
,,,,,4+,LA11844-0,http://loinc.org,
9,Permintaan & Hasil,Nominal,11018-9,Peroxidase (POX),Negative,LA6577-6,http://loinc.org,
,,,,,1+,LA11841-6,http://loinc.org,
,,,,,2+,LA11842-4,http://loinc.org,
,,,,,3+,LA11843-2,http://loinc.org,
,,,,,4+,LA11844-0,http://loinc.org,
10,Permintaan & Hasil,Nominal,11019-7,Sudan B Black,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
11,Permintaan,Quantitative,X099081,Sugar Water Test/Sucrose Water Test,,,,
12,Hasil,Quantitative,13535-0,Sugar Water Test/Sucrose Water Test,,,,
,,,,,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
13,Permintaan & Hasil,Ordinal,13533-5,Ham's Test,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
14,Permintaan & Hasil,Nominal,11020-5,Tartrate-resistant acid phosphatase stain (TRAP),Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
15,Permintaan & Hasil,Nominal,45043-7,Tzanck cell,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
16,Permintaan & Hasil,Quantitative,4542-7,Haptoglobin,,,,
